"filename", "language", "C#", "XML", "JSON", "Properties", "comment", "blank", "total"
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\Manager\ConnectionManager.cs", "C#", 13, 0, 0, 0, 0, 4, 17
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\Manager\LoginDataManager.cs", "C#", 23, 0, 0, 0, 0, 5, 28
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\Manager\ThemeStyleManager.cs", "C#", 62, 0, 0, 0, 3, 13, 78
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\Manager\UserManager.cs", "C#", 180, 0, 0, 0, 12, 33, 225
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\Services\BaseService.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\Services\FriendService.cs", "C#", 57, 0, 0, 0, 0, 9, 66
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\Services\LoginService.cs", "C#", 108, 0, 0, 0, 18, 20, 146
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\Services\RegisterService.cs", "C#", 26, 0, 0, 0, 0, 7, 33
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\Services\UserService.cs", "C#", 99, 0, 0, 0, 14, 23, 136
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\Tools\ImageTool.cs", "C#", 56, 0, 0, 0, 5, 11, 72
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\bin\Debug\net8.0\ChatClient.BaseService.deps.json", "JSON", 0, 0, 1973, 0, 0, 0, 1973
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\bin\Debug\net8.0\ChatClient.BaseService.runtimeconfig.json", "JSON", 0, 0, 13, 0, 0, 0, 13
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\obj\ChatClient.BaseService.csproj.nuget.dgspec.json", "JSON", 0, 0, 497, 0, 0, 0, 497
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\obj\ChatClient.BaseService.csproj.nuget.g.props", "XML", 0, 28, 0, 0, 0, 0, 28
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\obj\ChatClient.BaseService.csproj.nuget.g.targets", "XML", 0, 16, 0, 0, 0, 0, 16
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\obj\Debug\net8.0\ChatClient.BaseService.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 9, 5, 23
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\obj\Debug\net8.0\ChatClient.BaseService.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 20, 0, 1, 21
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\obj\Debug\net8.0\ChatClient.BaseService.GlobalUsings.g.cs", "C#", 17, 0, 0, 0, 1, 1, 19
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\obj\project.assets.json", "JSON", 0, 0, 4649, 0, 0, 0, 4649
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\obj\project.packagespec.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\ChatClient.Client.csproj", "XML", 0, 25, 0, 0, 0, 7, 32
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\ClientExtenstions.cs", "C#", 28, 0, 0, 0, 14, 4, 46
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\ClientModule.cs", "C#", 25, 0, 0, 0, 5, 7, 37
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\Client\ISocketClient.cs", "C#", 12, 0, 0, 0, 0, 3, 15
